,0,1,2,3,4
31,2021-03-07 13:36:21,"03/07/2021 19:06

Air Temperature: 23.7°C
Real Feel Temperature: 24.3°C
Relative Humidity: 84.3%
Water Vapor in 1kg… https://t.co/JFSN6Zfa5b",DasarahalliWS,,en
32,2021-03-07 13:36:20,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",_du3ey_,"California, USA",en
33,2021-03-07 13:36:14,"Mi has 

Played in
5games in Chennai
4games in delhi
3games in Bengaluru
And 2games in kolkata",VinodSunny,,en
34,2021-03-07 13:36:09,"RT @XpressBengaluru: Meet the members of Aravani Art Project, a community that provides kinship and skills to #transgenders #Bengaluru @san…",raghukoppar,,en
35,2021-03-07 13:36:04,"Few awesome Vegetarian Egg and Chicken dish available on @swiggy_in.
This is golden opportunity for the vegetarian… https://t.co/2Gg7Qyk0ek",mishrasatya94,"Bengaluru, India",en
36,2021-03-07 13:35:51,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",Shamir02921290,,en
37,2021-03-07 13:35:45,RT @prajwalmanipal: How the Bengaluru metro construction industry routinely gets away with not paying its workers. Wage disputes have incre…,Sayeed92597071,,en
38,2021-03-07 13:35:42,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",Dipakchaudhario,गडचिरोली,en
39,2021-03-07 13:35:35,"RT @BrokenCricket: Ahmedabad, Bengaluru, Chennai, Delhi, Mumbai &amp; Kolkata will host IPL 2021 Interestingly

CSK won't play at Chennai
RCB w…",sai290395,"Hyderabad, India",en
40,2021-03-07 13:35:34,"RT @Ajith_tweets: Lovely people of Bengaluru, RCB will miss playing at the Chinnaswamy this year. ☹️😑
FYI: Punjab Kings and KKR to play 5 g…",MaheshVaragi,,en
41,2021-03-07 13:35:28,RT @prajwalmanipal: How the Bengaluru metro construction industry routinely gets away with not paying its workers. Wage disputes have incre…,sandhya19910,"Mumbai, India",en
42,2021-03-07 13:35:16,"RT @BloodAid: #Bengaluru Need A+ #Blood @ Covid Convalescent Plasma donor @ Apollo Hospital, Sheshadripuram. 
Call 9844320487, 9900157557
#…",SWWELYYIN,"Londrina, Brasil",en
43,2021-03-07 13:35:10,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",Mubarikkhan0007,,en
44,2021-03-07 13:35:09,"RT @ESPNcricinfo: Ahmedabad, Bengaluru, Chennai, Delhi, Mumbai &amp; Kolkata will be the six host cities

There will be no home/away games. All…",BasaniPraneeth,"Guntur,AP, India 522409",en
45,2021-03-07 13:34:53,RT @prajwalmanipal: How the Bengaluru metro construction industry routinely gets away with not paying its workers. Wage disputes have incre…,RC19Mithun,,en
46,2021-03-07 13:34:37,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",SunilYa91286801,,en
47,2021-03-07 13:34:02,I request the government of India and Karnataka to conduct the State level and National level Job fair in Bengaluru… https://t.co/VgGTrtD5LN,sandeep_r143,"चिंतामणि, भारत",en
48,2021-03-07 13:33:47,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",Mridula84832662,,en
49,2021-03-07 13:33:41,RCB not playing in Bengaluru 🙄 https://t.co/yx0ImHbDyx,SadhuMaharaj16, ಲೆಫ್ಟ್ ತಗೊಂಡ್ರೆ ಮೂರ್ನೇ ಮನೆ,en
50,2021-03-07 13:33:23,RT @prajwalmanipal: How the Bengaluru metro construction industry routinely gets away with not paying its workers. Wage disputes have incre…,sAMs_SoFi,india,en
51,2021-03-07 13:33:20,"RT @ESPNcricinfo: Ahmedabad, Bengaluru, Chennai, Delhi, Mumbai &amp; Kolkata will be the six host cities

There will be no home/away games. All…",azath21,all over india,en
52,2021-03-07 13:33:00,"Great opportunity for angular developers with excellent salary, benefits, and career growth in India. APPLY NOW!… https://t.co/yGWHvcmKki",CyzergLLC,South Florida,en
53,2021-03-07 13:32:27,RT @pavanaja: Bengaluru Techie Writes Open Letter To PM Modi To Stop Legal Extortion By Wives From Men &amp; Their Families via @MensDayOutIndi…,GVRavindranath,,en
54,2021-03-07 13:31:48,"RT @BangaloreMirror: Bengaluru gets ranked No.1 on the Ease of Living Index survey 2020, released by the Govt. of India. The city jumps fro…",vinwiz,,en
55,2021-03-07 13:31:11,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",DurgaPr53926209,,en
56,2021-03-07 13:31:02,"RT @cricbuzz: The 56 league stage matches have been split in 10 games each in Chennai, Mumbai, Kolkata and Bengaluru, while Delhi and Ahmed…",cooper_grech,,en
57,2021-03-07 13:30:30,"RT @TumakuruRailway: #Bengaluru - #Tumakuru Electrification Update:

🚉 Poles erected at Tumakuru Outer (Both side i.e. Bengaluru and Arsike…",Vageeshathreya,ಬೆಂಗಳೂರು,en
